"","Id","ym"
"1","258077",2008-11-01
"2","134982",2008-11-01
"3","914243",2008-11-01
"4","507916",2008-11-01
"5","900995",2008-11-01
"6","926288",2008-11-01
"7","901207",2008-11-01
"8","900998",2008-11-01
"9","301861",2008-11-01
"10","25718M",2008-11-01
"11","139996",2008-11-01
"12","910707",2008-11-01
"13","135523",2008-11-01
"14","882977",2008-11-01
"15","900578",2008-11-01
"16","679297",2008-11-01
"17","943973",2008-11-01
"18","901203",2008-11-01
"19","30817U",2008-11-01
"20","29546E",2008-11-01
